,Description,Dates,Quantity,Invoice,CustomerID,Relative_UnitPrice
0,ALARM CLOCK BAKELIKE RED ,2010-12-01,19.0,3,3,4.157368421052631
1,ALARM CLOCK BAKELIKE RED ,2010-12-02,88.0,6,6,3.75
2,ALARM CLOCK BAKELIKE RED ,2010-12-03,51.0,2,2,4.027647058823529
3,ALARM CLOCK BAKELIKE RED ,2010-12-04,0.0,0,0,0.0
4,ALARM CLOCK BAKELIKE RED ,2010-12-05,38.0,7,7,3.75
5,ALARM CLOCK BAKELIKE RED ,2010-12-06,22.0,8,8,3.9259090909090912
6,ALARM CLOCK BAKELIKE RED ,2010-12-07,16.0,6,5,5.466875
7,ALARM CLOCK BAKELIKE RED ,2010-12-08,11.0,3,3,4.453636363636364
8,ALARM CLOCK BAKELIKE RED ,2010-12-09,31.0,4,4,4.124516129032258
9,ALARM CLOCK BAKELIKE RED ,2010-12-10,38.0,7,4,5.31
10,ALARM CLOCK BAKELIKE RED ,2010-12-11,0.0,0,0,0.0
11,ALARM CLOCK BAKELIKE RED ,2010-12-12,7.0,5,5,3.75
12,ALARM CLOCK BAKELIKE RED ,2010-12-13,10.0,2,2,3.75
13,ALARM CLOCK BAKELIKE RED ,2010-12-14,42.0,7,7,4.649047619047619
14,ALARM CLOCK BAKELIKE RED ,2010-12-15,1.0,1,1,3.75
15,ALARM CLOCK BAKELIKE RED ,2010-12-16,14.0,4,4,3.75
16,ALARM CLOCK BAKELIKE RED ,2010-12-17,9.0,5,2,6.760000000000001
17,ALARM CLOCK BAKELIKE RED ,2010-12-18,0.0,0,0,0.0
18,ALARM CLOCK BAKELIKE RED ,2010-12-19,3.0,1,1,3.75
19,ALARM CLOCK BAKELIKE RED ,2010-12-20,21.0,6,5,4.118571428571429
20,ALARM CLOCK BAKELIKE RED ,2010-12-21,10.0,1,1,8.47
21,ALARM CLOCK BAKELIKE RED ,2010-12-22,0.0,0,0,0.0
22,ALARM CLOCK BAKELIKE RED ,2010-12-23,1.0,1,1,3.75
23,ALARM CLOCK BAKELIKE RED ,2010-12-24,0.0,0,0,0.0
24,ALARM CLOCK BAKELIKE RED ,2010-12-25,0.0,0,0,0.0
25,ALARM CLOCK BAKELIKE RED ,2010-12-26,0.0,0,0,0.0
26,ALARM CLOCK BAKELIKE RED ,2010-12-27,0.0,0,0,0.0
27,ALARM CLOCK BAKELIKE RED ,2010-12-28,0.0,0,0,0.0
28,ALARM CLOCK BAKELIKE RED ,2010-12-29,0.0,0,0,0.0
29,ALARM CLOCK BAKELIKE RED ,2010-12-30,0.0,0,0,0.0
30,ALARM CLOCK BAKELIKE RED ,2010-12-31,0.0,0,0,0.0
31,ALARM CLOCK BAKELIKE RED ,2011-01-01,0.0,0,0,0.0
32,ALARM CLOCK BAKELIKE RED ,2011-01-02,0.0,0,0,0.0
33,ALARM CLOCK BAKELIKE RED ,2011-01-03,0.0,0,0,0.0
34,ALARM CLOCK BAKELIKE RED ,2011-01-04,11.0,3,3,3.75
35,ALARM CLOCK BAKELIKE RED ,2011-01-05,37.0,5,5,3.75
36,ALARM CLOCK BAKELIKE RED ,2011-01-06,12.0,3,3,4.1433333333333335
37,ALARM CLOCK BAKELIKE RED ,2011-01-07,24.0,5,5,3.75
38,ALARM CLOCK BAKELIKE RED ,2011-01-08,0.0,0,0,0.0
39,ALARM CLOCK BAKELIKE RED ,2011-01-09,9.0,4,4,3.75
40,ALARM CLOCK BAKELIKE RED ,2011-01-10,8.0,1,1,3.75
41,ALARM CLOCK BAKELIKE RED ,2011-01-11,11.0,4,3,5.417272727272727
42,ALARM CLOCK BAKELIKE RED ,2011-01-12,8.0,2,2,3.75
43,ALARM CLOCK BAKELIKE RED ,2011-01-13,11.0,2,2,3.75
44,ALARM CLOCK BAKELIKE RED ,2011-01-14,9.0,2,2,4.986666666666666
45,ALARM CLOCK BAKELIKE RED ,2011-01-15,0.0,0,0,0.0
46,ALARM CLOCK BAKELIKE RED ,2011-01-16,2.0,1,1,3.75
