,Description,Dates,Quantity
0,ALARM CLOCK BAKELIKE RED ,2010-12-01,19.0
1,ALARM CLOCK BAKELIKE RED ,2010-12-02,88.0
2,ALARM CLOCK BAKELIKE RED ,2010-12-03,51.0
3,ALARM CLOCK BAKELIKE RED ,2010-12-04,0.0
4,ALARM CLOCK BAKELIKE RED ,2010-12-05,38.0
5,ALARM CLOCK BAKELIKE RED ,2010-12-06,22.0
6,ALARM CLOCK BAKELIKE RED ,2010-12-07,16.0
7,ALARM CLOCK BAKELIKE RED ,2010-12-08,11.0
8,ALARM CLOCK BAKELIKE RED ,2010-12-09,31.0
9,ALARM CLOCK BAKELIKE RED ,2010-12-10,38.0
10,ALARM CLOCK BAKELIKE RED ,2010-12-11,0.0
11,ALARM CLOCK BAKELIKE RED ,2010-12-12,7.0
12,ALARM CLOCK BAKELIKE RED ,2010-12-13,10.0
13,ALARM CLOCK BAKELIKE RED ,2010-12-14,42.0
14,ALARM CLOCK BAKELIKE RED ,2010-12-15,1.0
15,ALARM CLOCK BAKELIKE RED ,2010-12-16,14.0
16,ALARM CLOCK BAKELIKE RED ,2010-12-17,9.0
17,ALARM CLOCK BAKELIKE RED ,2010-12-18,0.0
18,ALARM CLOCK BAKELIKE RED ,2010-12-19,3.0
19,ALARM CLOCK BAKELIKE RED ,2010-12-20,21.0
20,ALARM CLOCK BAKELIKE RED ,2010-12-21,10.0
21,ALARM CLOCK BAKELIKE RED ,2010-12-22,0.0
22,ALARM CLOCK BAKELIKE RED ,2010-12-23,1.0
23,ALARM CLOCK BAKELIKE RED ,2010-12-24,0.0
24,ALARM CLOCK BAKELIKE RED ,2010-12-25,0.0
25,ALARM CLOCK BAKELIKE RED ,2010-12-26,0.0
26,ALARM CLOCK BAKELIKE RED ,2010-12-27,0.0
27,ALARM CLOCK BAKELIKE RED ,2010-12-28,0.0
28,ALARM CLOCK BAKELIKE RED ,2010-12-29,0.0
29,ALARM CLOCK BAKELIKE RED ,2010-12-30,0.0
30,ALARM CLOCK BAKELIKE RED ,2010-12-31,0.0
31,ALARM CLOCK BAKELIKE RED ,2011-01-01,0.0
32,ALARM CLOCK BAKELIKE RED ,2011-01-02,0.0
33,ALARM CLOCK BAKELIKE RED ,2011-01-03,0.0
34,ALARM CLOCK BAKELIKE RED ,2011-01-04,11.0
35,ALARM CLOCK BAKELIKE RED ,2011-01-05,37.0
36,ALARM CLOCK BAKELIKE RED ,2011-01-06,12.0
37,ALARM CLOCK BAKELIKE RED ,2011-01-07,24.0
38,ALARM CLOCK BAKELIKE RED ,2011-01-08,0.0
39,ALARM CLOCK BAKELIKE RED ,2011-01-09,9.0
40,ALARM CLOCK BAKELIKE RED ,2011-01-10,8.0
41,ALARM CLOCK BAKELIKE RED ,2011-01-11,11.0
42,ALARM CLOCK BAKELIKE RED ,2011-01-12,8.0
43,ALARM CLOCK BAKELIKE RED ,2011-01-13,11.0
44,ALARM CLOCK BAKELIKE RED ,2011-01-14,9.0
45,ALARM CLOCK BAKELIKE RED ,2011-01-15,0.0
46,ALARM CLOCK BAKELIKE RED ,2011-01-16,2.0
47,ALARM CLOCK BAKELIKE RED ,2011-01-17,6.0
